URL,creator_name,total_post,patreon_number,income_per_month,tier_post_data,post_year_count,tier_count,total_links,facebook,twitter,instagram,youtube,twitch,tiktok,discord,social_link_count,text_posts,image_posts,video_posts,podcast_posts,audio_posts,link_posts,poll_posts,livestream_posts,other_posts,unknown,public_likes,public_comments,locked_likes,locked_comments,total_likes_combined,total_comments_combined,free_chat_count,paid_chat_count,membership_tier_count,membership_tiers_json,about_word_count
https://www.patreon.com/patronizer,Patronizer,13.0,220.0,340.3,{},"{'2024': 2, '2018': 3, '2017': 8}",0,0,no,no,no,no,no,no,no,0,6,5,1,0,0,0,1,0,0,0,23,29,1,3,0,0,0,0,3,"[{""name"": ""Wizard’s Apprentice"", ""price"": 10.0, ""description_word_count"": 32, ""tier_id"": ""647616""}, {""name"": ""Wizard"", ""price"": 20.0, ""description_word_count"": 35, ""tier_id"": ""2065748""}, {""name"": ""Shadow Wizard"", ""price"": 30.0, ""description_word_count"": 23, ""tier_id"": ""2065749""}]",454
https://www.patreon.com/HunterPie,Haato,23.0,1516.0,2138.0,{},"{'2025': 2, '2024': 2, '2023': 4, '2022': 7, '2021': 2, '2020': 6}",0,0,no,no,no,no,no,no,no,0,13,8,2,0,0,0,0,0,0,0,65,0,48,5,0,0,0,0,3,"[{""name"": ""High Rank"", ""price"": 5.0, ""description_word_count"": 32, ""tier_id"": ""4734489""}, {""name"": ""Tempered"", ""price"": 10.0, ""description_word_count"": 32, ""tier_id"": ""4734488""}, {""name"": ""Arch Tempered"", ""price"": 20.0, ""description_word_count"": 32, ""tier_id"": ""8176687""}]",19
https://www.patreon.com/TokyoDrewl,Tokyo Drew,69.0,149.0,0,{},"{'2025': 2, '2024': 15, '2023': 50, '2022': 2}",0,1,no,no,yes,no,no,no,no,1,3,4,56,0,0,0,0,0,0,0,70,13,348,176,0,0,1,0,0,[],689
