URL,creator_name,total_post,patreon_number,income_per_month,tier_post_data,post_year_count,tier_count,total_links,facebook,twitter,instagram,youtube,twitch,tiktok,discord,social_link_count,text_posts,image_posts,video_posts,podcast_posts,audio_posts,link_posts,poll_posts,livestream_posts,other_posts,unknown,public_likes,public_comments,locked_likes,locked_comments,total_likes_combined,total_comments_combined,free_chat_count,paid_chat_count,membership_tier_count,membership_tiers_json,about_word_count
https://www.patreon.com/patronizer,Patronizer,13.0,220.0,340.3,{},"{'2024': 2, '2018': 3, '2017': 8}",0,0,no,no,no,no,no,no,no,0,6,5,1,0,0,0,1,0,0,0,23,29,1,3,0,0,0,0,6,"[{""name"": ""Party Magician"", ""price"": 0.0, ""description_word_count"": 26, ""tier_id"": ""647614""}, {""name"": ""Potion Seller"", ""price"": 0.0, ""description_word_count"": 22, ""tier_id"": ""2065745""}, {""name"": ""Apothecary"", ""price"": 0.0, ""description_word_count"": 24, ""tier_id"": ""647615""}, {""name"": """", ""price"": 0.0, ""description_word_count"": 0, ""tier_id"": ""647616""}, {""name"": """", ""price"": 0.0, ""description_word_count"": 0, ""tier_id"": ""2065748""}, {""name"": """", ""price"": 0.0, ""description_word_count"": 0, ""tier_id"": ""2065749""}]",454
https://www.patreon.com/HunterPie,Haato,23.0,1516.0,2138.0,{},"{'2025': 2, '2024': 2, '2023': 4, '2022': 7, '2021': 2, '2020': 6}",0,0,no,no,no,no,no,no,yes,1,13,8,2,0,0,0,0,0,0,0,65,0,48,5,0,0,0,0,4,"[{""name"": ""Low Rank"", ""price"": 0.0, ""description_word_count"": 35, ""tier_id"": ""4734490""}, {""name"": ""High Rank"", ""price"": 0.0, ""description_word_count"": 32, ""tier_id"": ""4734489""}, {""name"": ""Tempered"", ""price"": 0.0, ""description_word_count"": 32, ""tier_id"": ""4734488""}, {""name"": """", ""price"": 0.0, ""description_word_count"": 0, ""tier_id"": ""8176687""}]",19
https://www.patreon.com/TokyoDrewl,Tokyo Drew,69.0,149.0,0,{},"{'2025': 2, '2024': 15, '2023': 50, '2022': 2}",0,1,no,no,yes,no,no,no,no,1,3,4,56,0,0,0,0,0,0,0,87,16,568,233,0,0,1,0,7,"[{""name"": ""TD Crew Ninjas"", ""price"": 0.0, ""description_word_count"": 115, ""tier_id"": ""3084419""}, {""name"": ""TD Crew Ronin"", ""price"": 0.0, ""description_word_count"": 117, ""tier_id"": ""3084421""}, {""name"": ""TD Crew Samurai"", ""price"": 0.0, ""description_word_count"": 101, ""tier_id"": ""3084425""}, {""name"": """", ""price"": 0.0, ""description_word_count"": 0, ""tier_id"": ""3084426""}, {""name"": """", ""price"": 0.0, ""description_word_count"": 0, ""tier_id"": ""5447356""}, {""name"": """", ""price"": 0.0, ""description_word_count"": 0, ""tier_id"": ""6478878""}, {""name"": """", ""price"": 0.0, ""description_word_count"": 0, ""tier_id"": ""9056203""}]",689
