URL,creator_name,total_post,patreon_number,income_per_month,tier_post_data,post_year_count,tier_count,total_links,facebook,twitter,instagram,youtube,twitch,tiktok,discord,social_link_count,text_posts,image_posts,video_posts,podcast_posts,audio_posts,link_posts,poll_posts,livestream_posts,other_posts,unknown,public_likes,public_comments,locked_likes,locked_comments,total_likes_combined,total_comments_combined,free_chat_count,paid_chat_count,membership_tier_count,membership_tiers_json,about_word_count
https://www.patreon.com/patronizer,Patronizer,0,0,0,{},"{'2024': 2, '2018': 3, '2017': 8}",0,0,no,no,no,no,no,no,no,0,6,5,1,0,0,0,1,0,0,0,23,29.0,1,3.0,0,0,0,0,6,"[{""name"": ""Party Magician"", ""price"": 0.0, ""description_word_count"": 26, ""tier_id"": ""647614""}, {""name"": ""Potion Seller"", ""price"": 0.0, ""description_word_count"": 22, ""tier_id"": ""2065745""}, {""name"": ""Apothecary"", ""price"": 0.0, ""description_word_count"": 24, ""tier_id"": ""647615""}, {""name"": ""Wizard’s Apprentice"", ""price"": 0.0, ""description_word_count"": 32, ""tier_id"": ""647616""}, {""name"": ""Wizard"", ""price"": 0.0, ""description_word_count"": 35, ""tier_id"": ""2065748""}, {""name"": ""Shadow Wizard"", ""price"": 0.0, ""description_word_count"": 23, ""tier_id"": ""2065749""}]",454
https://www.patreon.com/hexatail,Hexatail,0,0,0,{},"{'2025': 16, '2024': 42, '2023': 47, '2022': 38, '2021': 61, '2020': 5}",0,0,no,no,no,no,no,no,no,0,33,126,0,0,0,0,50,0,0,0,809,65.0,2864,1720.0,0,0,0,0,4,"[{""name"": ""Student"", ""price"": 0.0, ""description_word_count"": 17, ""tier_id"": ""6092341""}, {""name"": ""Teacher"", ""price"": 0.0, ""description_word_count"": 17, ""tier_id"": ""5520074""}, {""name"": ""Superstar"", ""price"": 0.0, ""description_word_count"": 22, ""tier_id"": ""5520075""}, {""name"": ""Agent"", ""price"": 0.0, ""description_word_count"": 26, ""tier_id"": ""6092564""}]",270
https://www.patreon.com/basicallyunfiltered,Basically Unfiltered,0,0,0,{},"{'2025': 41, '2024': 61}",0,1,no,no,no,yes,no,no,no,1,7,15,77,0,0,0,1,0,0,0,0,0,1541,9862.0,0,0,2,0,2,"[{""name"": ""SO GOOD"", ""price"": 0.0, ""description_word_count"": 13, ""tier_id"": ""23855859""}, {""name"": ""SO F*CKIN GOOD"", ""price"": 0.0, ""description_word_count"": 32, ""tier_id"": ""23855870""}]",4
