URL,creator_name,total_post,patreon_number,income_per_month,tier_post_data,post_year_count,tier_count,total_links,facebook,twitter,instagram,youtube,twitch,tiktok,discord,social_link_count,text_posts,image_posts,video_posts,podcast_posts,audio_posts,link_posts,poll_posts,livestream_posts,other_posts,unknown,public_likes,public_comments,locked_likes,locked_comments,total_likes_combined,total_comments_combined,free_chat_count,paid_chat_count,membership_tier_count,membership_tiers_json,about_word_count,about_total_members,about_paid_members
https://www.patreon.com/cinejump,CineJump,3258,2472,0,{},"{'2025': 433, '2024': 727, '2023': 651, '2022': 442, '2021': 277, '2020': 260, '2019': 167, '2018': 144, '2017': 142, '2016': 15}",0,1,no,no,no,no,no,no,no,0,360,16,690,0,4,2144,43,0,0,0,0,0,1258.0,597.0,0,0,0,0,5,"[{""name"": ""EXTRA DESI!"", ""price"": 5.0, ""description_word_count"": 82, ""tier_id"": ""23808018""}, {""name"": ""BEST PALS"", ""price"": 5.0, ""description_word_count"": 91, ""tier_id"": ""23808102""}, {""name"": ""HOT TOFU"", ""price"": 5.0, ""description_word_count"": 76, ""tier_id"": ""23808108""}, {""name"": ""CINEJUMPER"", ""price"": 10.0, ""description_word_count"": 105, ""tier_id"": ""23808114""}, {""name"": ""CINEJUMPER+"", ""price"": 20.0, ""description_word_count"": 175, ""tier_id"": ""23808141""}]",280,64569,2472
https://www.patreon.com/HowIDied,How i Died,193,203,0,{},"{'2025': 4, '2024': 8, '2023': 4, '2022': 41, '2021': 57, '2020': 16, '2019': 63}",0,2,no,yes,no,yes,no,no,no,2,0,0,0,0,0,0,0,0,0,0,225.0,46.0,683.0,164.0,0,0,1,0,4,"[{""name"": ""Springfield Police Officer"", ""price"": 5.0, ""description_word_count"": 54, ""tier_id"": ""3309376""}, {""name"": ""Sheriff"", ""price"": 10.0, ""description_word_count"": 84, ""tier_id"": ""3309383""}, {""name"": ""Forensic Pathologist"", ""price"": 20.0, ""description_word_count"": 104, ""tier_id"": ""3309388""}, {""name"": ""Springfield Corp. Chief Scientist"", ""price"": 50.0, ""description_word_count"": 170, ""tier_id"": ""24119742""}]",121,567,203
https://www.patreon.com/alyssadgrenfell,Alyssa Grenfell,111,540,0,{},"{'2025': 55, '2024': 56}",0,11,no,no,yes,yes,no,yes,no,3,1,30,80,0,0,0,0,0,0,0,28.0,5.0,621.0,356.0,0,0,0,0,4,"[{""name"": ""Single Bean"", ""price"": 1.0, ""description_word_count"": 14, ""tier_id"": ""24824884""}, {""name"": ""Drip Coffee"", ""price"": 5.0, ""description_word_count"": 30, ""tier_id"": ""23145307""}, {""name"": ""Double Shot Latte"", ""price"": 10.0, ""description_word_count"": 32, ""tier_id"": ""23145402""}, {""name"": ""Espresso Martini"", ""price"": 15.0, ""description_word_count"": 48, ""tier_id"": ""23145559""}]",26,2459,540
https://www.patreon.com/LMreactions,LM Reactions,2765,3126,0,{},"{'2025': 262, '2024': 614, '2023': 586, '2022': 521, '2021': 565, '2020': 185, '2019': 16, '2018': 13, '2017': 3}",0,0,no,no,no,no,no,no,no,0,56,17,1229,0,0,1439,24,0,0,0,0,0,1210.0,1248.0,0,0,0,0,3,"[{""name"": ""Tier 1"", ""price"": 1.0, ""description_word_count"": 7, ""tier_id"": ""2987245""}, {""name"": ""Tier 2"", ""price"": 5.0, ""description_word_count"": 5, ""tier_id"": ""2987251""}, {""name"": ""Tier 3"", ""price"": 10.0, ""description_word_count"": 5, ""tier_id"": ""3121159""}]",56,14228,3126
https://www.patreon.com/TheyWalkAmongUs,They Walk Among Us®,1524,615,0,{},"{'2025': 100, '2024': 234, '2023': 224, '2022': 232, '2021': 190, '2020': 149, '2019': 178, '2018': 131, '2017': 86}",0,4,no,no,no,no,no,no,no,0,0,0,0,0,0,0,0,0,0,0,0,0,172.0,23.0,0,0,0,0,4,"[{""name"": ""Supporting the Podcast"", ""price"": 1.0, ""description_word_count"": 25, ""tier_id"": ""1395560""}, {""name"": ""They Walk Among Us PLUS"", ""price"": 4.0, ""description_word_count"": 45, ""tier_id"": ""1295600""}, {""name"": ""Patreon Producer"", ""price"": 10.0, ""description_word_count"": 73, ""tier_id"": ""3164372""}, {""name"": ""Patreon Producer / Exclusive T-Shirt"", ""price"": 25.0, ""description_word_count"": 83, ""tier_id"": ""3164377""}]",83,1390,615
https://www.patreon.com/killerqueenspod,Killer Queens True Crime,1157,1054,0,{},"{'2025': 66, '2024': 189, '2023': 198, '2022': 202, '2021': 183, '2020': 186, '2019': 102, '2018': 31}",0,1,no,no,yes,no,no,no,no,1,0,0,0,0,0,0,0,0,0,0,0,0,509.0,87.0,0,0,0,0,3,"[{""name"": ""Spice Up Your Life"", ""price"": 10.0, ""description_word_count"": 85, ""tier_id"": ""3377849""}, {""name"": ""F・R・I・E・N・D・S"", ""price"": 20.0, ""description_word_count"": 29, ""tier_id"": ""3377859""}, {""name"": ""Totally Buggin'"", ""price"": 50.0, ""description_word_count"": 87, ""tier_id"": ""3732912""}]",269,3235,1054
https://www.patreon.com/studiobothand,Josh Hallmark,433,1415,0,{},"{'2025': 46, '2024': 95, '2023': 106, '2022': 38, '2021': 43, '2020': 48, '2019': 53, '2018': 4}",0,2,no,no,yes,yes,no,no,no,2,0,0,0,0,0,0,0,0,0,0,0,0,440.0,127.0,0,0,0,0,7,"[{""name"": ""Fawn"", ""price"": 5.0, ""description_word_count"": 12, ""tier_id"": ""25514264""}, {""name"": ""Goose"", ""price"": 10.0, ""description_word_count"": 25, ""tier_id"": ""3150552""}, {""name"": ""Chipmunk"", ""price"": 20.0, ""description_word_count"": 38, ""tier_id"": ""3150560""}, {""name"": ""Possum"", ""price"": 30.0, ""description_word_count"": 43, ""tier_id"": ""7132222""}, {""name"": ""Groundhog"", ""price"": 40.0, ""description_word_count"": 53, ""tier_id"": ""3150562""}, {""name"": ""Beaver"", ""price"": 50.0, ""description_word_count"": 63, ""tier_id"": ""7132233""}, {""name"": ""Duck"", ""price"": 75.0, ""description_word_count"": 66, ""tier_id"": ""25514268""}]",85,2498,1415
https://www.patreon.com/SeeingRedPodcast,Seeing Red,531,768,0,{},"{'2025': 54, '2024': 136, '2023': 117, '2022': 100, '2021': 73, '2020': 24, '2019': 20, '2018': 7}",0,0,no,no,no,no,no,no,no,0,0,0,0,0,0,0,0,0,0,0,189.0,71.0,265.0,245.0,0,0,1,0,5,"[{""name"": ""Fan"", ""price"": 0.0, ""description_word_count"": 50, ""tier_id"": ""2709747""}, {""name"": ""Fantastic (our most popular tier)"", ""price"": 0.0, ""description_word_count"": 82, ""tier_id"": ""2711748""}, {""name"": ""Fanatic"", ""price"": 0.0, ""description_word_count"": 97, ""tier_id"": ""2711759""}, {""name"": ""Super Fan"", ""price"": 0.0, ""description_word_count"": 97, ""tier_id"": ""5097056""}, {""name"": ""Co-producer"", ""price"": 0.0, ""description_word_count"": 36, ""tier_id"": ""25124233""}]",103,1506,768
https://www.patreon.com/PettyPumpkins,Petty Pumpkins,726,996,0,{},"{'2025': 159, '2024': 439, '2023': 128}",0,3,no,yes,yes,yes,no,no,no,3,17,72,433,0,0,140,64,0,0,0,0,0,948.0,319.0,0,0,1,0,5,"[{""name"": ""The Positive Pumpkin Tier"", ""price"": 3.0, ""description_word_count"": 50, ""tier_id"": ""10043968""}, {""name"": ""The Party Pumpkin Tier"", ""price"": 5.0, ""description_word_count"": 73, ""tier_id"": ""10045463""}, {""name"": ""The Piping Hot Tea Tier"", ""price"": 10.0, ""description_word_count"": 76, ""tier_id"": ""10043984""}, {""name"": ""The Pettiest Pumpkin Tier"", ""price"": 15.0, ""description_word_count"": 94, ""tier_id"": ""10044001""}, {""name"": ""Petty Pumpkin Podcast Tier"", ""price"": 20.0, ""description_word_count"": 147, ""tier_id"": ""10044015""}]",58,4250,996
https://www.patreon.com/themissingenigma,The Missing Enigma,40,301,1582.0,{},"{'2025': 5, '2024': 17, '2023': 18}",0,9,no,no,yes,no,no,no,no,1,0,1,38,0,0,1,0,0,0,0,47.0,21.0,828.0,709.0,0,0,0,0,5,"[{""name"": ""Patron"", ""price"": 3.0, ""description_word_count"": 14, ""tier_id"": ""8573710""}, {""name"": ""Patron +"", ""price"": 6.0, ""description_word_count"": 11, ""tier_id"": ""9547627""}, {""name"": ""All-access Patron"", ""price"": 9.0, ""description_word_count"": 9, ""tier_id"": ""8573711""}, {""name"": ""Channel Producer"", ""price"": 20.0, ""description_word_count"": 20, ""tier_id"": ""8573712""}, {""name"": ""Executive Producer"", ""price"": 50.0, ""description_word_count"": 29, ""tier_id"": ""23788776""}]",59,712,301
