URL,creator_name,total_post,patreon_number,income_per_month,tier_post_data,post_year_count,tier_count,total_links,facebook,twitter,instagram,youtube,twitch,tiktok,discord,social_link_count,text_posts,image_posts,video_posts,podcast_posts,audio_posts,link_posts,poll_posts,livestream_posts,other_posts,unknown,public_likes,public_comments,locked_likes,locked_comments,total_likes_combined,total_comments_combined,free_chat_count,paid_chat_count,membership_tier_count,membership_tiers_json,about_word_count
https://www.patreon.com/Dreamgreenshow,Dream Green Show,6,423,0,{},"{'2024': 3, '2021': 3}",0,0,no,no,no,no,no,no,no,0,1,0,2,0,0,0,0,0,0,0,0,0,54,52,0,0,0,0,2,"[{""name"": ""LUCID DREAMERS"", ""price"": 12.0, ""description_word_count"": 32, ""tier_id"": ""6102620""}, {""name"": ""THE DREAM TEAM"", ""price"": 69.0, ""description_word_count"": 59, ""tier_id"": ""24703624""}]",82
https://www.patreon.com/northernsiberiawinds,northern siberia winds,124,213083,0,{},"{'2025': 3, '2024': 23, '2023': 27, '2022': 23, '2021': 16, '2020': 32}",0,5,no,yes,no,no,no,no,no,1,4,107,1,0,0,0,12,0,0,0,2632,1447,3364,1005,0,0,0,0,3,"[{""name"": ""Coffee"", ""price"": 1.0, ""description_word_count"": 23, ""tier_id"": ""4904070""}, {""name"": ""Supporter"", ""price"": 5.0, ""description_word_count"": 24, ""tier_id"": ""4904071""}, {""name"": ""Сheesecake"", ""price"": 10.0, ""description_word_count"": 39, ""tier_id"": ""9064201""}]",119
https://www.patreon.com/basemental,Basemental,279,87652,0,{},"{'2025': 8, '2024': 20, '2023': 16, '2022': 20, '2021': 23, '2020': 41, '2019': 52, '2018': 57, '2017': 42}",0,4,no,yes,no,no,no,no,no,1,42,219,0,0,0,0,18,0,0,0,996,73,4147,1128,0,0,0,0,2,"[{""name"": ""Silver"", ""price"": 4.75, ""description_word_count"": 35, ""tier_id"": ""1711882""}, {""name"": ""Gold"", ""price"": 9.75, ""description_word_count"": 62, ""tier_id"": ""1711883""}]",316
https://www.patreon.com/llazyneiph,llazyneiph,274,23156,0,{},"{'2025': 7, '2024': 79, '2023': 23, '2022': 47, '2021': 51, '2020': 41, '2019': 26}",0,1,no,yes,no,no,no,no,yes,2,121,91,46,0,0,0,9,0,0,0,1783,35,34,0,0,0,0,0,3,"[{""name"": ""Noble"", ""price"": 1.0, ""description_word_count"": 25, ""tier_id"": ""3894085""}, {""name"": ""Royal Partner"", ""price"": 5.0, ""description_word_count"": 39, ""tier_id"": ""3894106""}, {""name"": ""Monarch"", ""price"": 10.0, ""description_word_count"": 57, ""tier_id"": ""3894111""}]",75
https://www.patreon.com/edpratt,Ed Pratt,126,3822,0,{},"{'2025': 7, '2024': 25, '2023': 24, '2022': 17, '2021': 14, '2020': 28, '2019': 11}",0,1,no,no,yes,no,no,no,no,1,7,21,90,0,0,0,0,0,0,0,0,0,1346,619,0,0,0,0,3,"[{""name"": ""EARLY ACCESS (+ Exclusive Videos)"", ""price"": 2.0, ""description_word_count"": 18, ""tier_id"": ""3898921""}, {""name"": ""ON-SCREEN CREDIT (+ Exclusive Videos)"", ""price"": 5.0, ""description_word_count"": 40, ""tier_id"": ""3899314""}, {""name"": ""NAME ON KAYAK (TOP) + Exclusive Videos"", ""price"": 20.0, ""description_word_count"": 43, ""tier_id"": ""3899316""}]",319
https://www.patreon.com/flydancefitness,Fly Dance Fitness,2640,2570,0,{},"{'2025': 227, '2024': 671, '2023': 522, '2022': 349, '2021': 392, '2020': 479}",0,2,no,no,yes,yes,no,no,no,2,25,4,1143,0,0,0,1,0,0,0,0,0,69,35,0,0,0,0,2,"[{""name"": ""Fly Dance Fitness Virtual Classes"", ""price"": 19.99, ""description_word_count"": 149, ""tier_id"": ""4760860""}, {""name"": ""Throw Down Virtual Classes + Tutorials"", ""price"": 29.99, ""description_word_count"": 168, ""tier_id"": ""4760990""}]",253
https://www.patreon.com/HunterPie,Haato,23,1514,2139,{},"{'2025': 2, '2024': 2, '2023': 4, '2022': 7, '2021': 2, '2020': 6}",0,0,no,no,no,no,no,no,no,0,13,8,2,0,0,0,0,0,0,0,65,0,48,5,0,0,0,0,4,"[{""name"": ""Low Rank"", ""price"": 1.0, ""description_word_count"": 30, ""tier_id"": ""4734490""}, {""name"": ""High Rank"", ""price"": 5.0, ""description_word_count"": 27, ""tier_id"": ""4734489""}, {""name"": ""Tempered"", ""price"": 10.0, ""description_word_count"": 27, ""tier_id"": ""4734488""}, {""name"": ""Arch Tempered"", ""price"": 20.0, ""description_word_count"": 27, ""tier_id"": ""8176687""}]",19
https://www.patreon.com/osprimos,OS PRIMOS,593,21044,0,{},"{'2025': 34, '2024': 102, '2023': 105, '2022': 112, '2021': 139, '2020': 101}",0,2,no,yes,yes,no,no,no,no,2,0,123,366,0,0,0,0,0,0,0,0,0,8824,1314,0,0,1,0,2,"[{""name"": ""PRIMAÇOS"", ""price"": 2.0, ""description_word_count"": 58, ""tier_id"": ""4409073""}, {""name"": ""NA VIA (COLISEU)"", ""price"": 10.0, ""description_word_count"": 16, ""tier_id"": ""8531851""}]",35
https://www.patreon.com/gpx,George Perez,88,0,0,{},"{'2022': 14, '2021': 48, '2020': 22}",0,2,no,yes,yes,no,no,no,no,2,69,0,0,0,0,0,2,0,0,0,0,0,799,1012,0,0,0,0,3,"[{""name"": ""Discord Member"", ""price"": 5.0, ""description_word_count"": 15, ""tier_id"": ""5704317""}, {""name"": ""ELITE INVESTOR"", ""price"": 10.0, ""description_word_count"": 61, ""tier_id"": ""5704318""}, {""name"": ""DIAMOND"", ""price"": 25.0, ""description_word_count"": 196, ""tier_id"": ""6247490""}]",79
https://www.patreon.com/TokyoDrewl,Tokyo Drew,69,149,0,{},"{'2025': 2, '2024': 15, '2023': 50, '2022': 2}",0,1,no,no,yes,no,no,no,no,1,3,4,56,0,0,0,0,0,0,0,70,13,348,176,0,0,1,0,7,"[{""name"": ""TD Crew Ninjas"", ""price"": 5.0, ""description_word_count"": 108, ""tier_id"": ""3084419""}, {""name"": ""TD Crew Ronin"", ""price"": 10.0, ""description_word_count"": 112, ""tier_id"": ""3084421""}, {""name"": ""TD Crew Samurai"", ""price"": 20.0, ""description_word_count"": 96, ""tier_id"": ""3084425""}, {""name"": ""TD Crew Daimyo"", ""price"": 35.0, ""description_word_count"": 158, ""tier_id"": ""3084426""}, {""name"": ""TD Crew Shogun"", ""price"": 50.0, ""description_word_count"": 166, ""tier_id"": ""5447356""}, {""name"": ""TD Crew Emperor"", ""price"": 100.0, ""description_word_count"": 203, ""tier_id"": ""6478878""}, {""name"": ""TD Crew VIP"", ""price"": 200.0, ""description_word_count"": 220, ""tier_id"": ""9056203""}]",689
https://www.patreon.com/x4fab,Ilja Jusupov aka x4fab,95,274255,49970,{},"{'2025': 2, '2024': 6, '2023': 7, '2022': 5, '2021': 11, '2020': 30, '2019': 29, '2018': 5}",0,5,no,no,no,no,no,no,no,0,9,56,29,0,0,0,0,0,0,0,832,461,7031,10709,0,0,0,0,3,"[{""name"": ""Supporter"", ""price"": 1.0, ""description_word_count"": 200, ""tier_id"": ""10920796""}, {""name"": ""Contributing Fan"", ""price"": 3.0, ""description_word_count"": 200, ""tier_id"": ""22703638""}, {""name"": ""Enthusiast"", ""price"": 5.0, ""description_word_count"": 200, ""tier_id"": ""22704080""}]",112
https://www.patreon.com/joebudden,Joe Budden,1075,0,0,{},"{'2025': 90, '2024': 232, '2023': 303, '2022': 245, '2021': 205}",0,0,no,no,no,no,no,no,no,0,19,101,951,0,0,0,1,0,0,0,0,0,65,3785,0,0,0,0,4,"[{""name"": ""Homies"", ""price"": 5.0, ""description_word_count"": 55, ""tier_id"": ""6622751""}, {""name"": ""Family"", ""price"": 10.0, ""description_word_count"": 59, ""tier_id"": ""6622752""}, {""name"": ""Friend of the Show"", ""price"": 25.0, ""description_word_count"": 68, ""tier_id"": ""6622753""}, {""name"": ""Part of the Show"", ""price"": 50.0, ""description_word_count"": 121, ""tier_id"": ""8210307""}]",159
https://www.patreon.com/riceandginger,Rice & Ginger,2447,35112,0,{},"{'2025': 299, '2024': 930, '2023': 878, '2022': 340}",0,8,no,no,no,yes,yes,no,no,2,136,53,2122,0,0,0,55,0,0,0,0,0,3780,1310,0,0,0,0,2,"[{""name"": ""Sushi Sampler"", ""price"": 5.0, ""description_word_count"": 97, ""tier_id"": ""8459954""}, {""name"": ""All-You-Can-Eat Sushi"", ""price"": 10.0, ""description_word_count"": 222, ""tier_id"": ""8558147""}]",149
https://www.patreon.com/imdontai,ImDontai,74,0,0,{},{'2025': 74},0,1,no,no,yes,no,no,no,no,1,1,0,73,0,0,0,0,0,0,0,0,0,5988,1240,0,0,1,0,1,"[{""name"": ""You're Dope."", ""price"": 5.0, ""description_word_count"": 17, ""tier_id"": ""3551431""}]",15
