URL,creator_name,total_post,patreon_number,income_per_month,tier_post_data,post_year_count,tier_count,total_likes,total_comments,total_links,facebook,twitter,instagram,youtube,twitch,tiktok,discord,social_link_count,text_posts,image_posts,video_posts,podcast_posts,audio_posts,link_posts,poll_posts,livestream_posts,other_posts,unknown,public_likes,public_comments,locked_likes,locked_comments,total_likes_combined,total_comments_combined,free_chat_count,paid_chat_count,about_word_count
https://www.patreon.com/osprimos,OS PRIMOS,591.0,20709.0,0,"{'primaços': 7, 'na_via_(coliseu)': 6}","{'2025': 32, '2024': 102, '2023': 105, '2022': 112, '2021': 139, '2020': 101}",2,0,0,2,no,yes,yes,no,no,no,no,2,0,123,364,0,0,0,0,0,101,0,0,0,8865,1349,8865,1349,1,0,35
https://www.patreon.com/gpx,George Perez,88.0,0,0,{'diamond': 15},"{'2023': 4, '2022': 14, '2021': 48, '2020': 22}",1,0,0,2,no,yes,yes,no,no,no,no,2,69,0,0,0,0,0,2,0,17,0,0,0,799,1012,799,1012,0,0,79
https://www.patreon.com/TokyoDrewl,Tokyo Drew,69.0,145.0,0,"{'public': 4, 'free_members': 1, 'td_crew_ninjas': 13, 'td_crew_ronin': 13, 'td_crew_samurai': 13, 'td_crew_daimyo': 13, 'td_crew_shogun': 12, 'td_crew_emperor': 13, 'td_crew_vip': 10}","{'2025': 2, '2024': 15, '2023': 50, '2022': 2}",9,0,0,1,no,no,yes,no,no,no,no,1,3,4,56,0,0,0,0,0,6,0,70,13,348,176,418,189,1,0,689
https://www.patreon.com/x4fab,Ilja Jusupov aka x4fab,95.0,271254.0,0,{'public': 10},"{'2025': 2, '2024': 6, '2023': 7, '2022': 5, '2021': 11, '2020': 30, '2019': 29, '2018': 5}",1,0,0,5,no,no,no,no,no,no,no,0,9,56,29,0,0,0,0,0,1,0,831,461,7026,10686,7857,11147,0,0,112
https://www.patreon.com/joebudden,Joe Budden,1068.0,0,0,"{'homies': 458, 'family': 689, 'friend_of_the_show': 841, 'part_of_the_show': 850}","{'2025': 83, '2024': 232, '2023': 303, '2022': 245, '2021': 205}",4,0,0,0,no,no,no,no,no,no,no,0,19,101,944,0,0,0,1,0,0,0,0,0,1658,3730,1658,3730,0,0,159
https://www.patreon.com/riceandginger,Rice & Ginger,2422.0,34807.0,0,"{'public': 23, 'free_members': 61, 'sushi_sampler': 357, 'all-you-can-eat_sushi': 927}","{'2025': 274, '2024': 930, '2023': 878, '2022': 340}",4,0,0,8,no,no,no,yes,yes,no,no,2,136,53,2097,0,0,0,55,0,67,0,0,0,3778,1388,3778,1388,0,0,149
https://www.patreon.com/imdontai,ImDontai,69.0,0,0,{'public': 1},{'2025': 69},1,0,0,1,no,no,yes,no,no,no,no,1,1,0,68,0,0,0,0,0,0,0,0,0,5694,1213,5694,1213,1,0,15
https://www.patreon.com/yaboyroshi,YaBoyRoshi,4876.0,64372.0,0,"{'public': 131, 'free_members': 4, 'base_form': 9, 'sūpā_saiya-jin': 1766, 'sūpā_saiya-jin_goddo': 4458}","{'2025': 278, '2024': 1036, '2023': 1402, '2022': 921, '2021': 714, '2020': 418, '2019': 69, '2018': 38}",5,0,0,1,no,no,no,yes,no,no,no,1,146,171,4462,0,0,0,63,0,34,0,504,250,9083,3198,9587,3448,4,0,133
https://www.patreon.com/hthaze,HTHAZE,398.0,91491.0,0,"{'public': 8, 'free_members': 5}","{'2025': 39, '2024': 139, '2023': 109, '2022': 63, '2021': 39, '2020': 9}",2,0,0,5,no,yes,yes,yes,yes,yes,no,5,9,27,354,0,0,0,4,0,2,0,180,80,5141,2647,5321,2727,0,0,66
https://www.patreon.com/peterboese,Peter Boese,76.0,267510.0,0,{'public': 18},"{'2025': 2, '2024': 13, '2023': 13, '2022': 6, '2021': 20, '2020': 22}",1,0,0,0,no,no,no,no,no,no,no,0,14,46,15,0,0,0,0,0,1,0,2250,920,3738,7389,5988,8309,4,0,76
